latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-35.3007,149.803,312.9,2,1.4,2026-04-09,611,Aqua,MODIS,60,61.03,293.3,25.6,D,0
-35.2962,149.8243,331.5,2,1.4,2026-04-09,611,Aqua,MODIS,87,61.03,293.9,79.8,D,0
-35.2886,149.7997,314,2,1.4,2026-04-09,611,Aqua,MODIS,50,61.03,293.1,26.8,D,0
-35.2842,149.8207,349,2,1.4,2026-04-09,611,Aqua,MODIS,96,61.03,296.4,160.1,D,0
-35.2798,149.8417,352,2,1.4,2026-04-09,611,Aqua,MODIS,97,61.03,295.5,177.7,D,0
-35.2722,149.817,327.5,2,1.4,2026-04-09,611,Aqua,MODIS,85,61.03,294.3,62.6,D,0
-35.2678,149.8382,369.5,2,1.4,2026-04-09,611,Aqua,MODIS,100,61.03,297,312.2,D,0
-35.2557,149.8346,305.5,2,1.4,2026-04-09,611,Aqua,MODIS,24,61.03,292.6,11.8,D,0
-35.2639,148.7136,304.3,1.7,1.3,2026-04-09,612,Aqua,MODIS,58,61.03,290.7,11.9,D,0
-35.2619,148.7257,319.8,1.7,1.3,2026-04-09,612,Aqua,MODIS,80,61.03,291.3,36.6,D,0
-35.26,148.7325,317,1.7,1.3,2026-04-09,612,Aqua,MODIS,77,61.03,291.1,32.7,D,0
-34.5255,147.2967,335.1,1.5,1.2,2026-04-09,612,Aqua,MODIS,77,61.03,292.8,62.2,D,0
-34.515,147.2938,362.7,1.5,1.2,2026-04-09,612,Aqua,MODIS,87,61.03,289.3,167.1,D,0
-34.1111,148.2853,315.8,1.7,1.3,2026-04-09,612,Aqua,MODIS,73,61.03,298,21.3,D,0
-34.0999,148.2821,333.7,1.7,1.3,2026-04-09,612,Aqua,MODIS,88,61.03,298.2,64.5,D,0
-34.04,148.1078,316.3,1.7,1.3,2026-04-09,612,Aqua,MODIS,69,61.03,298.3,21.2,D,0
-34.0365,148.1254,316.7,1.7,1.3,2026-04-09,612,Aqua,MODIS,72,61.03,297.5,22.7,D,0
-33.9545,147.8943,308.8,1.6,1.3,2026-04-09,612,Aqua,MODIS,62,61.03,296.2,6.4,D,0
-33.7995,148.0818,310.7,1.7,1.3,2026-04-09,612,Aqua,MODIS,56,61.03,298.4,10.1,D,0
-33.7894,147.3568,323.7,1.5,1.2,2026-04-09,612,Aqua,MODIS,62,61.03,299.9,27.8,D,0
-33.7757,147.3698,315.9,1.5,1.2,2026-04-09,612,Aqua,MODIS,18,61.03,295.5,14.3,D,0
-33.6764,147.9968,328.9,1.7,1.3,2026-04-09,612,Aqua,MODIS,84,61.03,300.8,46.4,D,0
-33.673,148.0144,365.3,1.7,1.3,2026-04-09,612,Aqua,MODIS,100,61.03,302.8,206.7,D,0
-33.5226,148.4269,318.8,1.8,1.3,2026-04-09,612,Aqua,MODIS,74,61.03,299.1,26.4,D,0
-33.0952,146.5934,318.6,1.4,1.2,2026-04-09,612,Aqua,MODIS,67,61.03,303.3,13.9,D,0
-32.7793,146.3456,316.6,1.4,1.2,2026-04-09,612,Aqua,MODIS,66,61.03,302.8,11.1,D,0
-32.7766,146.3601,334.6,1.4,1.2,2026-04-09,612,Aqua,MODIS,86,61.03,303.2,45.3,D,0
-32.7252,146.5786,390.3,1.5,1.2,2026-04-09,612,Aqua,MODIS,100,61.03,308.7,333.2,D,0
-32.7224,146.5937,336.1,1.5,1.2,2026-04-09,612,Aqua,MODIS,87,61.03,302.4,50.9,D,0
-32.7177,146.5606,340.8,1.4,1.2,2026-04-09,612,Aqua,MODIS,90,61.03,302.6,65.3,D,0
-32.7148,146.5758,356.9,1.5,1.2,2026-04-09,612,Aqua,MODIS,98,61.03,303.3,122.6,D,0
-32.6342,148.4133,322.4,1.9,1.3,2026-04-09,612,Aqua,MODIS,76,61.03,298.8,39.7,D,0
-32.4715,148.4163,334.7,1.9,1.4,2026-04-09,612,Aqua,MODIS,86,61.03,300.5,74.9,D,0
-32.3665,147.3019,335.8,1.6,1.3,2026-04-09,612,Aqua,MODIS,87,61.03,303.1,60.5,D,0
-32.2837,149.2002,310,2.2,1.4,2026-04-09,612,Aqua,MODIS,44,61.03,298,11.9,D,0
-32.0937,146.9608,391.9,1.6,1.2,2026-04-09,612,Aqua,MODIS,100,61.03,309.4,388.9,D,0
-32.0906,146.977,350.1,1.6,1.2,2026-04-09,612,Aqua,MODIS,95,61.03,304.3,104.6,D,0
-31.7942,148.8587,340.1,2.1,1.4,2026-04-09,612,Aqua,MODIS,90,61.03,299.9,106.7,D,0
-31.7897,148.8801,396.5,2.1,1.4,2026-04-09,612,Aqua,MODIS,100,61.03,308,679.7,D,0
-31.7853,148.9015,391.8,2.1,1.4,2026-04-09,612,Aqua,MODIS,100,61.03,303.4,608.4,D,0
-31.7775,148.8765,337.9,2.1,1.4,2026-04-09,612,Aqua,MODIS,89,61.03,302.7,99.3,D,0
-31.1685,146.687,326.3,1.6,1.2,2026-04-09,613,Aqua,MODIS,40,61.03,298.6,33.3,D,0
-31.1635,146.6959,318.8,1.6,1.2,2026-04-09,613,Aqua,MODIS,56,61.03,298.2,21.6,D,0
-29.7274,148.3412,331.8,2.2,1.4,2026-04-09,613,Aqua,MODIS,82,61.03,305.2,66.7,D,0
-29.7269,148.3333,319.7,2.2,1.4,2026-04-09,613,Aqua,MODIS,63,61.03,305,23.7,D,0
-29.4111,148.4443,325.9,2.3,1.5,2026-04-09,613,Aqua,MODIS,76,61.03,304.3,42.8,D,0
-29.4087,148.4626,321.4,2.3,1.5,2026-04-09,613,Aqua,MODIS,68,61.03,305,28.8,D,0
-29.4063,148.4668,323.9,2.3,1.5,2026-04-09,613,Aqua,MODIS,63,61.03,305.2,35.9,D,0
-29.4007,148.4366,320.4,2.3,1.5,2026-04-09,613,Aqua,MODIS,64,61.03,303.9,23.6,D,0
-29.3961,148.4591,340.4,2.3,1.5,2026-04-09,613,Aqua,MODIS,89,61.03,305.3,111,D,0
-28.7943,148.5974,339.8,2.4,1.5,2026-04-09,613,Aqua,MODIS,89,61.03,303.9,124.4,D,0
-28.7862,148.5702,325.1,2.4,1.5,2026-04-09,613,Aqua,MODIS,69,61.03,303.7,49.8,D,0
-28.7813,148.5938,364.6,2.4,1.5,2026-04-09,613,Aqua,MODIS,100,61.03,304.3,330.1,D,0
-28.7763,148.6175,320.3,2.4,1.5,2026-04-09,613,Aqua,MODIS,59,61.03,299,38.3,D,0
-28.3998,147.7922,318.9,2.2,1.4,2026-04-09,613,Aqua,MODIS,62,61.03,304.8,20.8,D,0
-32.7285,146.5859,303.7,4.1,1.9,2026-04-09,1044,Terra,MODIS,33,61.03,286.4,57.2,N,0
-32.4597,148.4008,302.5,3.1,1.7,2026-04-09,1044,Terra,MODIS,45,61.03,289.4,23.7,N,0
-32.458,148.4267,302.4,3.1,1.7,2026-04-09,1044,Terra,MODIS,49,61.03,289.5,27.1,N,0
-31.783,148.8795,331.5,2.8,1.6,2026-04-09,1044,Terra,MODIS,100,61.03,293.3,139.6,N,0
-31.7809,148.909,310.5,2.8,1.6,2026-04-09,1044,Terra,MODIS,80,61.03,291.1,43.3,N,0
-28.7883,148.5916,301.6,2.7,1.6,2026-04-09,1045,Terra,MODIS,42,61.03,290.7,19.6,N,0
-28.7838,148.586,303.3,2.7,1.6,2026-04-09,1045,Terra,MODIS,54,61.03,290.7,24.7,N,0
-29.7128,148.359,300.6,1,1,2026-04-09,1710,Aqua,MODIS,31,61.03,289.7,5.4,N,0
-29.3954,148.4629,306.4,1,1,2026-04-09,1710,Aqua,MODIS,68,61.03,291.6,8.1,N,0
-29.3939,148.4526,303.1,1,1,2026-04-09,1710,Aqua,MODIS,53,61.03,290.9,6,N,0
-28.7789,148.6067,305.5,1,1,2026-04-09,1710,Aqua,MODIS,64,61.03,290.6,8.2,N,0
