latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
-32.20486,152.21204,334.45,0.6,0.71,2026-04-09,248,N,VIIRS,n,2,292.5,6.58,D,0
-32.2027,152.21046,329.16,0.6,0.71,2026-04-09,248,N,VIIRS,n,2,292.72,3.31,D,0
-32.0259,152.18871,354.66,0.6,0.71,2026-04-09,248,N,VIIRS,n,2,293.59,11.77,D,0
-32.02565,152.19501,354.42,0.6,0.71,2026-04-09,248,N,VIIRS,n,2,294.36,11.77,D,0
-32.0238,152.18726,342.15,0.6,0.71,2026-04-09,248,N,VIIRS,n,2,292.81,10.25,D,0
-32.02352,152.19345,367,0.6,0.71,2026-04-09,248,N,VIIRS,h,2,294.39,24.05,D,0
-29.56531,151.98509,330.71,0.59,0.7,2026-04-09,248,N,VIIRS,n,2,295.83,4.88,D,0
-28.68926,153.32811,352.4,0.49,0.65,2026-04-09,249,N,VIIRS,n,2,292.87,7.47,D,0
-28.68894,153.33307,329.05,0.48,0.65,2026-04-09,249,N,VIIRS,n,2,292.48,7.47,D,0
-28.43134,150.47934,331.08,0.71,0.75,2026-04-09,249,N,VIIRS,n,2,302.07,2.68,D,0
-37.02728,141.11269,332.65,0.4,0.37,2026-04-09,427,N,VIIRS,n,2,292.51,4.8,D,0
-36.71436,141.03993,326.25,0.4,0.37,2026-04-09,427,N,VIIRS,n,2,287.92,1.56,D,0
-36.26773,148.75443,330.76,0.57,0.43,2026-04-09,427,N,VIIRS,n,2,284.88,5.3,D,0
-36.09362,147.64876,355.52,0.51,0.41,2026-04-09,427,N,VIIRS,n,2,294.85,48.37,D,0
-36.09252,147.65425,337.31,0.51,0.41,2026-04-09,427,N,VIIRS,n,2,299.83,48.37,D,0
-36.08981,147.64774,338.94,0.51,0.41,2026-04-09,427,N,VIIRS,n,2,292.18,13.1,D,0
-35.29714,149.81955,337.31,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,294.83,4.61,D,0
-35.29604,149.82445,339.31,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,294.55,4.61,D,0
-35.29496,149.82933,341.9,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,294.21,6.04,D,0
-35.29395,149.81331,339.62,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,294.48,6.79,D,0
-35.29285,149.81822,356.8,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,297.56,23.09,D,0
-35.29176,149.82309,353.84,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,295.02,23.09,D,0
-35.29067,149.82799,344.01,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,294.08,8.66,D,0
-35.28966,149.81198,342.08,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,295.72,6.79,D,0
-35.28959,149.83286,352.15,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,293.44,8.66,D,0
-35.28857,149.81685,367,0.45,0.47,2026-04-09,427,N,VIIRS,h,2,302.14,23.09,D,0
-35.28749,149.82172,355.98,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,299.84,23.09,D,0
-35.28638,149.82668,348.47,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,296.05,8.66,D,0
-35.28537,149.81067,350.07,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,295.11,8.46,D,0
-35.28529,149.83156,325.21,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,288.29,8.66,D,0
-35.28452,149.81256,346.79,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,294.6,9.99,D,0
-35.28428,149.81555,351.55,0.45,0.47,2026-04-09,427,N,VIIRS,n,2,296.55,15.13,D,0
